Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
200,158.027,0.345699,0.000481249
200,305.836,0.294247,0.000632524
200,497.813,0.262914,0.000313771
200,703.149,0.242415,0.000257302
200,1000.95,0.224263,0.000345264
200,1003.96,0.220561,0.000234314
200,1005.97,0.223007,0.000327797
200,1106.14,0.217852,0.000320353
200,1498.7,0.203243,0.000591124
225,158.027,0.346106,0.00177787
225,305.836,0.294371,0.000959804
225,497.813,0.262974,0.00079366
225,703.149,0.242396,0.000375494
225,1000.95,0.224259,0.000241556
225,1003.96,0.220578,0.000212574
225,1005.97,0.223029,0.000212543
225,1106.14,0.217833,0.000228634
225,1498.7,0.203274,0.000262652
250,158.027,0.346256,0.00253748
250,305.836,0.29446,0.00142334
250,497.813,0.263004,0.000858857
250,703.149,0.242458,0.000356104
250,1000.95,0.2243,0.00024733
250,1003.96,0.220624,0.000292075
250,1005.97,0.223071,0.000282645
250,1106.14,0.217875,0.000257857
250,1498.7,0.203293,0.000288986
300,158.027,0.347417,0.00572361
300,305.836,0.294807,0.00303122
300,497.813,0.263294,0.00236619
300,703.149,0.24255,0.000804783
300,1000.95,0.224418,0.000356568
300,1003.96,0.220765,0.000470501
300,1005.97,0.223157,0.000787154
300,1106.14,0.21801,0.000416393
300,1498.7,0.203415,0.000322439
350,158.027,0.347668,0.00725253
350,305.836,0.295448,0.00486849
350,497.813,0.263619,0.00362653
350,703.149,0.242738,0.0010409
350,1000.95,0.224697,0.000769219
350,1003.96,0.221185,0.000925008
350,1005.97,0.223624,0.000943401
350,1106.14,0.218334,0.00082746
350,1498.7,0.203488,0.000602214
400,158.027,0.351292,0.0151745
400,305.836,0.296362,0.00766016
400,497.813,0.263948,0.00374708
400,703.149,0.243044,0.00146215
400,1000.95,0.22505,0.00133599
400,1003.96,0.221225,0.00129632
400,1005.97,0.223709,0.00145646
400,1106.14,0.218698,0.00135338
400,1498.7,0.203717,0.000950158
500,158.027,0.353854,0.0235652
500,305.836,0.29791,0.0106886
500,497.813,0.265531,0.00615859
500,703.149,0.244304,0.00380596
500,1000.95,0.225295,0.00271428
500,1003.96,0.222832,0.0040429
500,1005.97,0.224651,0.00366663
500,1106.14,0.219764,0.00368581
500,1498.7,0.205076,0.00316994
600,158.027,0.362264,0.0422487
600,305.836,0.300089,0.0136621
600,497.813,0.269611,0.0123831
600,703.149,0.24678,0.00789528
600,1000.95,0.227132,0.00624019
600,1003.96,0.225502,0.00846996
600,1005.97,0.227262,0.00797911
600,1106.14,0.220812,0.00631196
600,1498.7,0.20578,0.00545639
700,158.027,0.375329,0.0592192
700,305.836,0.309702,0.0143221
700,497.813,0.278571,0.0124398
700,703.149,0.254181,0.00890095
700,1000.95,0.236073,0.00917618
700,1003.96,0.233568,0.00940068
700,1005.97,0.236254,0.00937238
700,1106.14,0.22891,0.00746809
700,1498.7,0.215007,0.00840978
800,158.027,0.3837,0.0597901
800,305.836,0.321418,0.0154024
800,497.813,0.288972,0.0115073
800,703.149,0.262136,0.0092144
800,1000.95,0.243335,0.0091354
800,1003.96,0.241994,0.0091271
800,1005.97,0.24541,0.00869626
800,1106.14,0.237628,0.00766404
800,1498.7,0.219001,0.00769811
850,158.027,0.393129,0.072939
