Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
200,158.027,0.15661,0.000179252
200,305.836,0.134137,0.000183906
200,1000.95,0.100233,0.000113217
200,1005.97,0.100623,0.000111892
200,1106.14,0.0994501,0.000252792
225,158.027,0.156618,0.000313861
225,305.836,0.134122,0.000250053
225,1000.95,0.100223,0.000152494
225,1005.97,0.100594,0.000221071
225,1106.14,0.0994476,0.000292868
250,158.027,0.156702,0.000623124
250,305.836,0.134179,0.000286841
250,1000.95,0.100236,0.000148123
250,1005.97,0.100616,0.000104749
250,1106.14,0.0994672,0.000241966
300,158.027,0.156977,0.00216928
300,305.836,0.134233,0.000625859
300,1000.95,0.100444,0.000335835
300,1005.97,0.100687,0.000171805
300,1106.14,0.0996154,0.000178392
350,158.027,0.157467,0.00423977
350,305.836,0.134349,0.000805919
350,1000.95,0.100348,0.000536479
350,1005.97,0.100778,0.000405294
350,1106.14,0.0996602,0.00032361
400,158.027,0.157878,0.00583605
400,305.836,0.134482,0.00111204
400,1000.95,0.100466,0.00058669
400,1005.97,0.100873,0.00057224
400,1106.14,0.0998064,0.000567855
500,158.027,0.160358,0.0137637
500,305.836,0.135183,0.00251448
500,1000.95,0.100952,0.00166348
500,1005.97,0.101692,0.00195122
500,1106.14,0.100498,0.00158416
600,158.027,0.16248,0.0224825
600,305.836,0.136525,0.00438988
600,1000.95,0.10287,0.00425579
600,1005.97,0.102187,0.00333251
600,1106.14,0.102833,0.00376205
700,158.027,0.168297,0.0319298
700,305.836,0.139531,0.0058204
700,1000.95,0.10582,0.00333561
700,1005.97,0.106645,0.00357741
700,1106.14,0.104561,0.00354413
800,158.027,0.177553,0.0374029
800,305.836,0.141805,0.0087737
800,1000.95,0.110705,0.00335909
800,1005.97,0.110649,0.00277465
800,1106.14,0.107483,0.003466
850,158.027,0.179459,0.0409372
850,305.836,0.143323,0.00726645
850,1000.95,0.112149,0.00276122
850,1005.97,0.11214,0.00236201
850,1106.14,0.109043,0.00332253
900,158.027,0.184326,0.0451778
900,305.836,0.146594,0.0094195
900,1000.95,0.115899,0.00368692
900,1005.97,0.113318,0.00221693
900,1106.14,0.110977,0.00361255
1000,158.027,0.200964,0.0584191
1000,305.836,0.149555,0.00960511
1000,1000.95,0.115719,0.00265855
1000,1005.97,0.117546,0.00349445
1000,1106.14,0.112623,0.00342846
1100,158.027,0.213963,0.0619084
1100,305.836,0.153187,0.0113354
1100,1000.95,0.117979,0.0033835
1100,1005.97,0.117249,0.00317975
1100,1106.14,0.115576,0.00402767
1200,158.027,0.22779,0.0682434
1200,305.836,0.157666,0.0104399
1200,1000.95,0.119031,0.00365039
1200,1005.97,0.11805,0.00356156
1200,1106.14,0.117941,0.00460212
1300,158.027,0.243499,0.0754322
1300,305.836,0.163198,0.0145957
1300,1000.95,0.120334,0.00356968
1300,1005.97,0.120205,0.00464057
1300,1106.14,0.118336,0.00413016
1400,158.027,0.27928,0.109978
1400,305.836,0.166344,0.0148469
1400,1000.95,0.122891,0.00429453
1400,1005.97,0.12279,0.00550456
1400,1106.14,0.120433,0.00449236
1500,158.027,0.284563,0.0950715
1500,305.836,0.174233,0.0225121
1500,1000.95,0.126087,0.00510188
1500,1005.97,0.127236,0.00642725
1500,1106.14,0.123135,0.0049798
1600,158.027,0.309661,0.107035
1600,305.836,0.177463,0.0201156
1600,1000.95,0.127295,0.00429903
1600,1005.97,0.126204,0.00491174
1600,1106.14,0.125603,0.00555171
1603,158.027,0.312906,0.106728
1603,305.836,0.178157,0.0214498
1603,1000.95,0.12734,0.00434031
1603,1005.97,0.129164,0.00649206
1603,1106.14,0.124749,0.00480139
1700,158.027,0.321337,0.110294
1700,305.836,0.183594,0.0254367
1700,1000.95,0.13076,0.00483415
1700,1005.97,0.127907,0.00469015
1700,1106.14,0.125608,0.00425921
1800,158.027,0.355416,0.128636
1800,305.836,0.187076,0.0300436
1800,1000.95,0.13086,0.00378834
1800,1005.97,0.134342,0.0059153
1800,1106.14,0.13139,0.00617707
1900,158.027,0.3598,0.0831299
1900,305.836,0.192202,0.0266515
1900,1000.95,0.134178,0.00435343
1900,1005.97,0.132453,0.00459584
1900,1106.14,0.131716,0.0059841
