Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
200,158.027,0.156587,7.28206e-05
200,305.836,0.13413,5.30933e-05
200,497.813,0.118599,8.03774e-05
200,1000.95,0.100213,4.18799e-05
200,1003.96,0.10163,5.65007e-05
200,1005.97,0.100602,4.57236e-05
200,1106.14,0.099484,5.75425e-05
200,1304.83,0.0990741,4.73021e-05
200,1498.7,0.0963403,4.68591e-05
225,158.027,0.156588,8.43616e-05
225,305.836,0.134131,5.53889e-05
225,497.813,0.118598,7.16068e-05
225,1000.95,0.100213,4.59206e-05
225,1003.96,0.101631,4.70324e-05
225,1005.97,0.100603,4.1958e-05
225,1106.14,0.0994852,4.18503e-05
225,1304.83,0.0990736,4.95331e-05
225,1498.7,0.0963406,4.3166e-05
250,158.027,0.156623,8.01251e-05
250,305.836,0.134168,6.09409e-05
250,497.813,0.117951,0.000282701
250,1000.95,0.100306,5.56659e-05
250,1003.96,0.101691,5.84652e-05
250,1005.97,0.100693,6.11023e-05
250,1106.14,0.0995493,5.80755e-05
250,1304.83,0.0991158,4.67121e-05
250,1498.7,0.0963802,4.25212e-05
300,158.027,0.156886,0.000116158
300,305.836,0.134369,8.6577e-05
300,497.813,0.116648,0.000438213
300,1000.95,0.100689,0.000122449
300,1003.96,0.101968,9.22309e-05
300,1005.97,0.101067,0.000119301
300,1106.14,0.0998276,9.16891e-05
300,1304.83,0.0993051,6.85703e-05
300,1498.7,0.0965616,7.06994e-05
350,158.027,0.157479,0.000239923
350,305.836,0.134712,0.000128079
350,497.813,0.118109,0.000579055
350,1000.95,0.10117,0.000187854
350,1003.96,0.102359,0.000138926
350,1005.97,0.101532,0.000164534
350,1106.14,0.100203,0.000138714
350,1304.83,0.0995753,9.80671e-05
350,1498.7,0.0968357,0.000103498
400,158.027,0.158454,0.000367716
400,305.836,0.135237,0.000196013
400,497.813,0.119802,0.00117265
400,1000.95,0.101802,0.000203348
400,1003.96,0.102902,0.000179591
400,1005.97,0.102138,0.000187482
400,1106.14,0.100716,0.000169332
400,1304.83,0.0999493,0.00013188
400,1498.7,0.0972307,0.000139199
500,158.027,0.162309,0.000694013
500,305.836,0.137427,0.000293981
500,1000.95,0.104874,0.00027636
500,1003.96,0.105335,0.000227854
500,1005.97,0.10508,0.00026177
500,1106.14,0.10308,0.000203869
500,1304.83,0.101645,0.00016858
500,1498.7,0.0989348,0.000242732
600,158.027,0.170196,0.00102588
600,305.836,0.141501,0.000359526
600,1000.95,0.110413,0.000229636
600,1003.96,0.109703,0.000224679
600,1005.97,0.11037,0.000208632
600,1106.14,0.107331,0.000220757
600,1304.83,0.10473,0.00020551
600,1498.7,0.10196,0.000184943
700,158.027,0.181994,0.00127103
700,305.836,0.146353,0.000426572
700,1000.95,0.114606,0.000243717
700,1003.96,0.113655,0.000223547
700,1005.97,0.11425,0.000222925
700,1106.14,0.110994,0.000229166
700,1304.83,0.107628,0.000234661
700,1498.7,0.104949,0.000183709
800,158.027,0.197567,0.00152038
800,305.836,0.15192,0.000540971
800,1000.95,0.117349,0.000266695
800,1003.96,0.117132,0.000228622
800,1005.97,0.11666,0.000263534
800,1106.14,0.113984,0.000250849
800,1304.83,0.110214,0.000241861
800,1498.7,0.107889,0.00019643
850,158.027,0.206434,0.00164937
850,305.836,0.154819,0.000575186
850,1000.95,0.118561,0.000272479
850,1003.96,0.118695,0.000223935
850,1005.97,0.117723,0.000270546
850,1106.14,0.115358,0.000260945
850,1304.83,0.11148,0.000243986
850,1498.7,0.109242,0.000200318
900,158.027,0.215901,0.00179079
900,305.836,0.157735,0.000634479
900,1000.95,0.119721,0.00027785
900,1003.96,0.120143,0.000226545
900,1005.97,0.118736,0.000289747
900,1106.14,0.116682,0.0002739
900,1304.83,0.112735,0.000242668
900,1498.7,0.110515,0.00021117
1000,158.027,0.236608,0.00205449
1000,305.836,0.163603,0.000756142
1000,1000.95,0.122044,0.000290771
1000,1003.96,0.122704,0.000234478
1000,1005.97,0.120841,0.000314914
1000,1106.14,0.119234,0.000287933
1000,1304.83,0.115264,0.000233487
1000,1498.7,0.112776,0.000233206
1100,158.027,0.259126,0.00225663
1100,305.836,0.169287,0.000863908
1100,1000.95,0.124828,0.000298099
1100,1003.96,0.124822,0.000227147
1100,1005.97,0.123473,0.000323148
1100,1106.14,0.121789,0.000306568
1100,1304.83,0.117946,0.000248462
1100,1498.7,0.11452,0.00024045
1200,158.027,0.282992,0.00252109
1200,305.836,0.175165,0.000986491
1200,1000.95,0.127774,0.00029593
1200,1003.96,0.126697,0.000227646
1200,1005.97,0.126369,0.000324812
1200,1106.14,0.124344,0.000315448
1200,1304.83,0.120561,0.000254026
1200,1498.7,0.116078,0.000252889
1300,158.027,0.308132,0.00271707
1300,305.836,0.181496,0.00111275
1300,1000.95,0.130594,0.000294998
1300,1003.96,0.128435,0.000233828
1300,1005.97,0.129235,0.000317445
1300,1106.14,0.126834,0.000322565
1300,1304.83,0.122972,0.00027112
1300,1498.7,0.117618,0.000264872
1400,158.027,0.334347,0.00296498
1400,305.836,0.188392,0.00121127
1400,1000.95,0.133254,0.000288277
1400,1003.96,0.130084,0.000233951
1400,1005.97,0.132037,0.000306608
1400,1106.14,0.129259,0.00032209
1400,1304.83,0.125174,0.000281002
1400,1498.7,0.119187,0.000274539
1500,158.027,0.361609,0.00319312
1500,305.836,0.196033,0.00135466
1500,1000.95,0.135607,0.000300094
1500,1003.96,0.131775,0.000256436
1500,1005.97,0.134664,0.000302779
1500,1106.14,0.131602,0.000325721
1500,1304.83,0.127015,0.0002899
1500,1498.7,0.120969,0.000278948
1600,158.027,0.389499,0.00337522
1600,305.836,0.204463,0.0014855
1600,1000.95,0.137676,0.000301613
1600,1003.96,0.133528,0.000282961
1600,1005.97,0.137084,0.00029641
1600,1106.14,0.133878,0.000325064
1600,1304.83,0.128542,0.000294914
1600,1498.7,0.122963,0.000271987
1603,158.027,0.390388,0.0033177
1603,305.836,0.204698,0.00151365
1603,1000.95,0.137735,0.000301691
1603,1003.96,0.133584,0.000279853
1603,1005.97,0.13715,0.000298995
1603,1106.14,0.133943,0.000325586
1603,1304.83,0.128584,0.000299134
1603,1498.7,0.123017,0.000278317
1700,158.027,0.41757,0.0034462
1700,305.836,0.213442,0.00161488
1700,1000.95,0.139564,0.000315115
1700,1003.96,0.135237,0.000304563
1700,1005.97,0.139307,0.000305726
1700,1106.14,0.13605,0.000324801
1700,1304.83,0.129956,0.000308081
1700,1498.7,0.124942,0.000280037
1800,158.027,0.445513,0.00365594
1800,305.836,0.222832,0.00178481
1800,1000.95,0.14135,0.000322064
1800,1003.96,0.136893,0.000327918
1800,1005.97,0.141394,0.000302411
1800,1106.14,0.138138,0.000325591
1800,1304.83,0.131335,0.000315945
1800,1498.7,0.126863,0.000277231
1900,158.027,0.473322,0.00392716
1900,305.836,0.2327,0.00192579
1900,1000.95,0.143031,0.000336873
1900,1003.96,0.138479,0.000370322
1900,1005.97,0.143338,0.000304698
1900,1106.14,0.140137,0.000316258
1900,1304.83,0.132682,0.000323002
1900,1498.7,0.128716,0.000282655
