Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
200,158.027,0.345627,0.000171751
200,305.836,0.29423,0.000140006
200,497.813,0.262871,0.000121213
200,703.149,0.242375,0.000118412
200,897.541,0.225661,0.000102646
200,1000.95,0.224221,0.000108555
200,1003.96,0.220535,0.000165209
200,1005.97,0.222977,9.8397e-05
200,1106.14,0.217802,0.000182884
200,1304.83,0.211966,8.66301e-05
200,1498.7,0.20324,9.07192e-05
225,158.027,0.345628,0.000148476
225,305.836,0.294234,0.000148894
225,497.813,0.262874,0.000110903
225,703.149,0.242376,0.000111531
225,897.541,0.225661,0.000104475
225,1000.95,0.224223,0.000111107
225,1003.96,0.220535,0.000160632
225,1005.97,0.222979,9.70864e-05
225,1106.14,0.217804,0.000129683
225,1304.83,0.211965,9.16614e-05
225,1498.7,0.203241,0.000104258
250,158.027,0.3458,0.000167895
250,305.836,0.294441,0.000127712
250,497.813,0.263101,0.000125335
250,703.149,0.242546,0.000130558
250,897.541,0.225864,0.000126242
250,1000.95,0.224378,9.52429e-05
250,1003.96,0.220729,0.000137193
250,1005.97,0.223181,0.000112197
250,1106.14,0.217984,8.81134e-05
250,1304.83,0.212101,9.79652e-05
250,1498.7,0.203371,9.90713e-05
300,158.027,0.346586,0.00015547
300,305.836,0.295312,0.000150421
300,497.813,0.264054,0.000118719
300,703.149,0.243271,0.000103368
300,897.541,0.226703,0.000114688
300,1000.95,0.22503,0.000100832
300,1003.96,0.221523,9.41721e-05
300,1005.97,0.223994,0.000106798
300,1106.14,0.218706,0.000107972
300,1304.83,0.212678,8.77071e-05
300,1498.7,0.203935,9.38296e-05
350,158.027,0.347742,0.000221249
350,305.836,0.296517,0.000184949
350,497.813,0.265286,0.000148301
350,703.149,0.244263,0.00017854
350,897.541,0.227804,0.000155593
350,1000.95,0.225934,0.00014608
350,1003.96,0.222544,0.000143439
350,1005.97,0.225028,0.000135883
350,1106.14,0.219645,0.000125104
350,1304.83,0.213477,0.000111771
350,1498.7,0.204732,0.000122883
400,158.027,0.349388,0.000236078
400,305.836,0.298191,0.00022488
400,497.813,0.266948,0.000178338
400,703.149,0.245635,0.000156338
400,897.541,0.229294,0.000141178
400,1000.95,0.227184,0.000150663
400,1003.96,0.223918,0.000146163
400,1005.97,0.226406,0.0001512
400,1106.14,0.220895,0.000131386
400,1304.83,0.214577,0.000122185
400,1498.7,0.205837,0.000126272
500,158.027,0.356723,0.000630602
500,305.836,0.30547,0.00017342
500,497.813,0.274472,0.000168956
500,703.149,0.251663,0.000147473
500,897.541,0.23601,0.000135073
500,1000.95,0.232658,0.000132294
500,1003.96,0.230201,0.000136576
500,1005.97,0.232732,0.000150935
500,1106.14,0.22659,0.000409717
500,1304.83,0.219447,0.00012397
500,1498.7,0.210642,0.000118396
600,158.027,0.370789,0.000308416
600,305.836,0.318431,0.000236669
600,497.813,0.287958,0.000231394
600,703.149,0.262494,0.00018532
600,897.541,0.248037,0.000188708
600,1000.95,0.242474,0.000165852
600,1003.96,0.241599,0.000178795
600,1005.97,0.244099,0.000181855
600,1106.14,0.236829,0.000167261
600,1304.83,0.228286,0.000153175
600,1498.7,0.219253,0.000145573
700,158.027,0.386305,0.000495334
700,305.836,0.330385,0.000241399
700,497.813,0.299409,0.000228471
700,703.149,0.27247,0.000212815
700,897.541,0.25839,0.00019412
700,1000.95,0.25162,0.000172238
700,1003.96,0.251358,0.000170973
700,1005.97,0.253459,0.000171807
700,1106.14,0.245482,0.000167579
700,1304.83,0.236589,0.000160532
700,1498.7,0.22746,0.000164986
800,158.027,0.403103,0.000404976
800,305.836,0.341114,0.000248117
800,497.813,0.308608,0.000205385
800,703.149,0.281329,0.000192174
800,897.541,0.266906,0.000193504
800,1000.95,0.259897,0.000182848
800,1003.96,0.259142,0.000193766
800,1005.97,0.260579,0.000177031
800,1106.14,0.25238,0.000158527
800,1304.83,0.244003,0.000166786
800,1498.7,0.235096,0.000172665
850,158.027,0.412502,0.000433062
850,305.836,0.345989,0.000253714
850,497.813,0.312693,0.000211218
850,703.149,0.285409,0.000206378
850,897.541,0.270671,0.000196883
850,1000.95,0.263724,0.000180829
850,1003.96,0.262737,0.000175082
850,1005.97,0.263761,0.000169094
