Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
200,497.813,0.118626,0.000137707
200,703.149,0.132813,0.000224638
200,897.541,0.104385,0.000148489
200,1003.96,0.101655,6.34728e-05
200,1304.83,0.0990966,0.000111908
200,1498.7,0.0963565,0.000114544
225,497.813,0.118608,0.000481766
225,703.149,0.132799,0.000339672
225,897.541,0.104379,0.000227457
225,1003.96,0.101651,0.00010956
225,1304.83,0.0990625,0.000280363
225,1498.7,0.0963582,0.000200749
250,497.813,0.119317,0.00737749
250,703.149,0.132926,0.000242729
250,897.541,0.104442,0.000145734
250,1003.96,0.101672,8.16739e-05
250,1304.83,0.0990928,0.000170452
250,1498.7,0.0963628,0.000111593
300,497.813,0.118398,0.00103661
300,703.149,0.133163,0.000794139
300,897.541,0.10462,0.000527093
300,1003.96,0.101698,0.00013161
300,1304.83,0.0991263,0.000120753
300,1498.7,0.0963795,0.000234413
350,497.813,0.118525,0.000420737
350,703.149,0.13399,0.00187465
350,897.541,0.104923,0.0011621
350,1003.96,0.101786,0.000278491
350,1304.83,0.0991761,0.000241984
350,1498.7,0.0964387,0.000213651
400,497.813,0.119011,0.000828229
400,703.149,0.135166,0.00341708
400,897.541,0.10529,0.00194491
400,1003.96,0.101865,0.000485433
400,1304.83,0.099275,0.000393948
400,1498.7,0.0965345,0.000373797
500,497.813,0.118718,0.0166527
500,703.149,0.13746,0.00906755
500,897.541,0.107212,0.00597244
500,1003.96,0.102103,0.00121255
500,1304.83,0.0996175,0.00104301
500,1498.7,0.0967373,0.000909148
600,497.813,0.117554,0.0143635
600,703.149,0.143286,0.0208894
600,897.541,0.114954,0.016548
600,1003.96,0.103804,0.00346099
600,1304.83,0.100357,0.00226292
600,1498.7,0.0974725,0.00212552
700,497.813,0.108581,0.0334564
700,703.149,0.162053,0.0262051
700,897.541,0.12694,0.0191077
700,1003.96,0.105572,0.00252957
700,1304.83,0.103042,0.00291945
700,1498.7,0.0994235,0.0025608
800,497.813,0.137887,0.0805131
800,703.149,0.206012,0.0436728
800,897.541,0.142975,0.0205084
800,1003.96,0.109469,0.00320981
800,1304.83,0.104854,0.00276851
800,1498.7,0.102106,0.00293433
850,497.813,0.156133,0.0957951
850,897.541,0.155234,0.023913
850,1003.96,0.111108,0.00333315
850,1304.83,0.106081,0.00288709
850,1498.7,0.102847,0.00280201
900,497.813,0.20402,0.127757
900,703.149,0.226496,0.0482726
900,897.541,0.165191,0.0270007
900,1003.96,0.113296,0.00389031
900,1304.83,0.106853,0.00280049
900,1498.7,0.103983,0.00277335
1000,497.813,0.301483,0.15113
1000,703.149,0.253263,0.0548127
1000,897.541,0.185477,0.03197
1000,1003.96,0.116204,0.00384545
1000,1304.83,0.108647,0.003002
1000,1498.7,0.107812,0.0036849
1100,497.813,0.406761,0.165244
1100,703.149,0.282687,0.0632532
1100,897.541,0.210332,0.0406173
1100,1003.96,0.117687,0.00312895
1100,1304.83,0.110847,0.0035322
1100,1498.7,0.10848,0.00263606
1200,703.149,0.33428,0.0904926
1200,897.541,0.223432,0.0405201
1200,1003.96,0.120142,0.00321192
1200,1304.83,0.111817,0.00278808
1200,1498.7,0.11061,0.00268185
1300,497.813,0.588742,0.0648281
1300,703.149,0.388839,0.11236
1300,1003.96,0.122784,0.00345554
1300,1304.83,0.11458,0.00415908
1300,1498.7,0.11354,0.00324769
1400,497.813,0.722875,0.0535253
1400,703.149,0.412165,0.112453
1400,897.541,0.282408,0.0602534
1400,1003.96,0.124181,0.00345394
1400,1304.83,0.117016,0.00439687
1400,1498.7,0.113325,0.00266169
1500,497.813,0.82429,0.0519258
1500,703.149,0.49739,0.151564
1500,897.541,0.324235,0.0825714
1500,1003.96,0.1252,0.00312194
1500,1304.83,0.118944,0.00418768
1500,1498.7,0.11478,0.00304834
1600,497.813,0.918053,0.0514584
1600,703.149,0.564501,0.174654
1600,897.541,0.382834,0.111797
1600,1003.96,0.126466,0.00315969
1600,1304.83,0.12109,0.00398247
1600,1498.7,0.115743,0.00335267
1603,497.813,0.925699,0.0444463
1603,703.149,0.562972,0.177022
1603,897.541,0.348246,0.0849566
1603,1003.96,0.126493,0.00312218
1603,1304.83,0.120776,0.0039418
1603,1498.7,0.115006,0.00273557
1700,497.813,0.966646,0.0407667
1700,703.149,0.548586,0.103815
1700,897.541,0.381115,0.0967124
1700,1003.96,0.127971,0.00360267
1700,1304.83,0.122469,0.00345342
1700,1498.7,0.116255,0.00254329
1800,497.813,0.885064,0.0840597
1800,897.541,0.442357,0.129251
1800,1003.96,0.129482,0.00380095
1800,1304.83,0.123764,0.00277246
1800,1498.7,0.117313,0.00356705
1900,497.813,0.940699,0.0746352
1900,897.541,0.472172,0.132337
1900,1003.96,0.130501,0.00404434
1900,1304.83,0.125858,0.00331154
1900,1498.7,0.119253,0.0042656
