Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
200,497.813,0.118618,0.00016237
225,497.813,0.118281,0.00153285
250,497.813,0.118528,0.000421816
300,497.813,0.118258,0.000882831
350,497.813,0.118511,0.00192001
400,497.813,0.125144,0.0475236
500,497.813,0.118552,0.0119023
600,497.813,0.11784,0.00310897
700,497.813,0.106503,0.027488
800,497.813,0.136131,0.0794275
850,497.813,0.165058,0.104749
900,497.813,0.182064,0.102143
1000,497.813,0.361628,0.198866
1100,497.813,0.462735,0.205397
