Voltages [V],Pressures [Tor],Drift Speed [cm/us],SD [cm/us],Drift Speed [cm/s],SD [cm/s],,,
200,158.0272814,0,0,0,0,,,
200,305.8362458,0,0,0,0,,,
200,497.8134186,0,0,0,0,,,
200,703.1486686,0,0,0,0,,,
200,897.5405459,0,0,0,0,,,
200,1000.952929,0,0,0,0,,,
200,1003.961493,0,0,0,0,,,
200,1005.967095,0,0,0,0,,,
200,1106.136614,0,0,0,0,,,
200,1304.82908,0,0,0,0,,,
200,1498.695034,0,0,0,0,,,
225,158.0272814,0,0,0,0,,,
225,305.8362458,0,0,0,0,,,
225,497.8134186,0,0,0,0,,,
225,703.1486686,0,0,0,0,,,
225,897.5405459,0,0,0,0,,,
225,1000.952929,0,0,0,0,,,
225,1003.961493,0,0,0,0,,,
225,1005.967095,0,0,0,0,,,
225,1106.136614,0,0,0,0,,,
225,1304.82908,0,0,0,0,,,
225,1498.695034,0,0,0,0,,,
250,158.0272814,0,0,0,0,,,
250,305.8362458,0,0,0,0,,,
250,497.8134186,0,0,0,0,,,
250,703.1486686,0,0,0,0,,,
250,897.5405459,0,0,0,0,,,
250,1000.952929,0,0,0,0,,,
250,1003.961493,0,0,0,0,,,
250,1005.967095,0,0,0,0,,,
250,1106.136614,0,0,0,0,,,
250,1304.82908,0,0,0,0,,,
250,1498.695034,0,0,0,0,,,
300,158.0272814,0,0,0,0,,,
300,305.8362458,0,0,0,0,,,
300,497.8134186,0,0,0,0,,,
300,703.1486686,0,0,0,0,,,
300,897.5405459,0,0,0,0,,,
300,1000.952929,0,0,0,0,,,
300,1003.961493,0,0,0,0,,,
300,1005.967095,0,0,0,0,,,
300,1106.136614,0,0,0,0,,,
300,1304.82908,0,0,0,0,,,
300,1498.695034,0,0,0,0,,,
350,158.0272814,0.250036,0.0185415,250036,18541.5,,,
350,305.8362458,0.250687,0.0192153,250687,19215.3,,,
350,497.8134186,0.247238,0.0153064,247238,15306.4,,,
350,703.1486686,0.257162,0.0232098,257162,23209.8,,,
350,897.5405459,0.252112,0.0206083,252112,20608.3,,,
350,1000.952929,0.250862,0.0195413,250862,19541.3,,,
350,1003.961493,0.250105,0.0188565,250105,18856.5,,,
350,1005.967095,0.253002,0.0209542,253002,20954.2,,,
350,1106.136614,0.249958,0.0186921,249958,18692.1,,,
350,1304.82908,0.255898,0.0226925,255898,22692.5,,,
350,1498.695034,0.251104,0.0196073,251104,19607.3,,,
400,158.0272814,0,0,0,0,,,
400,305.8362458,0,0,0,0,,,
400,497.8134186,0,0,0,0,,,
400,703.1486686,0,0,0,0,,,
400,897.5405459,0,0,0,0,,,
400,1000.952929,0,0,0,0,,,
400,1003.961493,0,0,0,0,,,
400,1005.967095,0,0,0,0,,,
400,1106.136614,0,0,0,0,,,
400,1304.82908,0,0,0,0,,,
400,1498.695034,0,0,0,0,,,
