Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us],TotalAttempts
200,497.813,0.1185,0.000862291,11447
200,1005.97,0.100528,9.91479e-05,11363
200,1304.83,0.0990016,8.4857e-05,11380
200,1498.7,0.096271,8.54321e-05,11340
225,1000.95,0.100142,8.46552e-05,11371
250,158.027,0.156514,0.000494332,11419
250,305.836,0.134081,0.000154873,11362
250,497.813,0.117714,0.000218682,11328
250,1005.97,0.100644,8.84562e-05,11318
300,497.813,0.11604,0.000347987,11371
300,1003.96,0.101998,8.38309e-05,11393
300,1005.97,0.101133,8.82583e-05,11393
300,1106.14,0.0998594,8.68133e-05,11305
300,1498.7,0.0965596,8.14861e-05,11362
350,158.027,0.157583,0.000470859,11394
350,305.836,0.134734,0.000487003,11309
350,497.813,0.118705,0.00047145,11305
350,1000.95,0.101273,0.000326172,11358
350,1003.96,0.102417,0.000491285,11366
350,1005.97,0.101632,0.000217587,11297
350,1106.14,0.100265,0.000396079,11355
350,1498.7,0.0968622,0.000310788,11417
400,158.027,0.158728,0.00017939,11400
400,305.836,0.135331,0.000123742,11368
400,497.813,0.121357,0.000463473,11732
400,1000.95,0.101914,9.64496e-05,11432
400,1003.96,0.103004,0.000103086,11396
400,1498.7,0.0972961,0.000102039,11318
500,158.027,0.162787,0.000175867,11463
500,305.836,0.137523,0.000136857,11388
500,1000.95,0.104755,0.000112324,11468
500,1003.96,0.105321,0.00011261,11445
500,1005.97,0.104933,0.000756294,11434
500,1106.14,0.103033,0.00010267,11463
500,1304.83,0.101627,9.32388e-05,11476
500,1498.7,0.0989439,8.003e-05,11399
600,158.027,0.170516,0.000211667,11614
600,305.836,0.141412,0.000161784,11434
600,1000.95,0.109971,0.000175017,11446
600,1003.96,0.109403,0.000147761,11534
600,1005.97,0.109926,0.000174238,11406
600,1106.14,0.10704,0.000146184,11470
600,1304.83,0.104573,0.000113135,11431
600,1498.7,0.101772,0.00012328,11509
700,158.027,0.181863,0.00027749,11676
700,305.836,0.146099,0.000180265,11512
700,1000.95,0.114095,0.000140216,11473
700,1003.96,0.113198,0.000149882,11483
700,1005.97,0.11376,0.000139175,11406
700,1106.14,0.110597,0.000132764,11547
700,1304.83,0.107398,0.000123705,11473
700,1498.7,0.104628,0.00013153,11567
800,158.027,0.196663,0.000397452,11662
800,305.836,0.151503,0.000223549,11522
800,1000.95,0.11683,0.000160467,11467
800,1003.96,0.116542,0.00016613,11538
800,1005.97,0.116205,0.00016384,11457
800,1106.14,0.113522,0.000151048,11550
800,1304.83,0.109893,0.000147685,11457
800,1498.7,0.107449,0.000153064,11510
850,158.027,0.205071,0.000463306,11699
850,305.836,0.154311,0.000211534,11548
850,1000.95,0.118012,0.000142079,11452
850,1003.96,0.118046,0.000157877,11506
850,1005.97,0.117254,0.000122225,11489
850,1106.14,0.114858,0.000143631,11624
850,1304.83,0.111103,0.000141937,11524
850,1498.7,0.108764,0.000138885,11492
900,158.027,0.214027,0.000532107,11736
900,305.836,0.157159,0.000211643,11507
900,1000.95,0.119129,0.000145114,11456
900,1003.96,0.119447,0.000161392,11544
900,1005.97,0.11825,0.000139491,11411
900,1106.14,0.116142,0.000138593,11570
900,1304.83,0.112299,0.000135462,11513
900,1498.7,0.110003,0.000152813,11476
1000,158.027,0.233431,0.00077282,11738
1000,305.836,0.162888,0.000288159,11568
1000,1000.95,0.121353,0.000174405,11554
1000,1003.96,0.121929,0.000203412,11517
1000,1005.97,0.120281,0.000164068,11617
1000,1106.14,0.118599,0.00016217,11551
1000,1304.83,0.114692,0.000157659,11589
1000,1498.7,0.112219,0.000154619,11538
1100,158.027,0.254457,0.000835337,11717
1100,305.836,0.168498,0.000250027,11597
1100,1000.95,0.124035,0.000171687,11568
1100,1003.96,0.124046,0.000170437,11569
1100,1005.97,0.122807,0.000153474,11568
1100,1106.14,0.121108,0.000155172,11553
1100,1304.83,0.117274,0.000175055,11631
1100,1498.7,0.113998,0.000142887,11533
