Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us],TotalAttempts
200,158.027,0.156537,0.000104786,0
200,305.836,0.134088,8.31781e-05,0
200,497.813,0.11856,8.22057e-05,0
200,1000.95,0.100179,6.18397e-05,0
200,1003.96,0.101597,6.74903e-05,0
200,1005.97,0.100569,6.11433e-05,0
200,1106.14,0.0994521,8.14972e-05,0
200,1304.83,0.0990416,6.69332e-05,0
200,1498.7,0.0963085,6.88272e-05,0
225,158.027,0.156539,9.43614e-05,0
225,305.836,0.134086,9.05186e-05,0
225,497.813,0.118559,0.000107506,0
225,1000.95,0.10018,6.7199e-05,0
225,1003.96,0.101598,6.77566e-05,0
225,1005.97,0.10057,6.32411e-05,0
225,1106.14,0.0994536,5.94818e-05,0
225,1304.83,0.0990403,6.29514e-05,0
225,1498.7,0.0963093,6.01349e-05,0
250,158.027,0.156574,0.000110776,0
250,305.836,0.134127,8.94451e-05,0
250,497.813,0.117863,0.000289397,0
250,1000.95,0.100278,7.02321e-05,0
250,1003.96,0.101662,7.51385e-05,0
250,1005.97,0.100667,8.12355e-05,0
250,1106.14,0.0995193,7.24452e-05,0
250,1304.83,0.0990866,6.28533e-05,0
250,1498.7,0.0963501,7.25984e-05,0
300,158.027,0.156873,0.000140316,0
300,305.836,0.134351,0.000104558,0
300,497.813,0.116408,0.000431998,0
300,1000.95,0.100709,0.000129164,0
300,1003.96,0.101974,0.000101238,0
300,1005.97,0.101086,0.000124469,0
300,1106.14,0.0998346,9.91901e-05,0
300,1304.83,0.0992991,0.000125509,0
300,1498.7,0.0965549,0.000106208,0
350,158.027,0.157502,0.000243732,0
350,305.836,0.134706,0.00029245,0
350,497.813,0.118513,0.000610341,0
350,1000.95,0.101174,0.000458253,0
350,1003.96,0.10235,0.000546605,0
350,1005.97,0.101532,0.000437566,0
350,1106.14,0.100201,0.000388923,0
350,1304.83,0.0995627,0.000393208,0
350,1498.7,0.0968258,0.000369899,0
400,158.027,0.158525,0.000367078,0
400,305.836,0.135248,0.000191355,0
400,497.813,0.120407,0.00119062,0
400,1000.95,0.101805,0.000204571,0
400,1003.96,0.102906,0.000187634,0
400,1005.97,0.102134,0.000190685,0
400,1106.14,0.100719,0.000170626,0
400,1304.83,0.0999457,0.000131159,0
400,1498.7,0.0972368,0.000138225,0
500,158.027,0.162357,0.000710885,0
500,305.836,0.137395,0.000298467,0
500,1000.95,0.104726,0.000224547,0
500,1003.96,0.105246,0.000237383,0
500,1005.97,0.10493,0.00020832,0
500,1106.14,0.102983,0.000208361,0
500,1304.83,0.101581,0.000176387,0
500,1498.7,0.0988815,0.000183414,0
600,158.027,0.170057,0.000991602,0
600,305.836,0.141345,0.000377767,0
600,1000.95,0.110136,0.000258096,0
600,1003.96,0.109481,0.000246534,0
600,1005.97,0.110098,0.000236047,0
600,1106.14,0.107122,0.000241696,0
600,1304.83,0.104594,0.000218062,0
600,1498.7,0.101806,0.000201231,0
700,158.027,0.181576,0.00125933,0
700,305.836,0.146128,0.00045871,0
700,1000.95,0.114386,0.000273161,0
700,1003.96,0.113423,0.000247686,0
700,1005.97,0.114046,0.000254846,0
700,1106.14,0.110794,0.000253554,0
700,1304.83,0.107492,0.000246057,0
700,1498.7,0.104772,0.000202244,0
800,158.027,0.196759,0.00153405,0
800,305.836,0.151639,0.000566275,0
800,1000.95,0.117212,0.000277065,0
800,1003.96,0.116903,0.000250949,0
800,1005.97,0.116554,0.000270596,0
800,1106.14,0.113808,0.000273237,0
800,1304.83,0.110067,0.000251465,0
800,1498.7,0.107691,0.000217294,0
850,158.027,0.205433,0.00169378,0
850,305.836,0.154508,0.000611584,0
850,1000.95,0.118426,0.000282018,0
850,1003.96,0.118463,0.000251876,0
850,1005.97,0.117617,0.000284537,0
850,1106.14,0.115187,0.000280196,0
850,1304.83,0.111319,0.000255566,0
850,1498.7,0.109049,0.000225751,0
900,158.027,0.214703,0.0018682,0
900,305.836,0.157419,0.000665316,0
900,1000.95,0.119583,0.000292255,0
900,1003.96,0.119916,0.000255578,0
900,1005.97,0.118644,0.000296865,0
900,1106.14,0.116515,0.00028804,0
900,1304.83,0.112563,0.000256346,0
900,1498.7,0.110328,0.000232923,0
1000,158.027,0.234998,0.00212772,0
1000,305.836,0.163265,0.000791482,0
1000,1000.95,0.121889,0.000302547,0
1000,1003.96,0.122497,0.000258805,0
1000,1005.97,0.120721,0.000326273,0
1000,1106.14,0.119045,0.000314579,0
1000,1304.83,0.115052,0.000257772,0
1000,1498.7,0.112606,0.000252478,0
1100,158.027,0.25712,0.00236907,0
1100,305.836,0.168982,0.000883065,0
1100,1000.95,0.12457,0.000320291,0
1100,1003.96,0.124635,0.000249313,0
1100,1005.97,0.123248,0.000335535,0
1100,1106.14,0.121577,0.000323483,0
1100,1304.83,0.117693,0.000272014,0
1100,1498.7,0.114392,0.000258869,0
